2018-01-26 21:19:33,302 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-01-26 21:19:33,302 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-01-26 21:19:33,302 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-01-26 21:19:33,378 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://F:/ApacheCamel/Input?noop=true
2018-01-26 21:19:33,379 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-01-26 21:19:33,380 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.593 seconds
2018-01-26 21:19:34,417 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[F:\ApacheCamel\Input\Swathy-Aadhar.PNG]]]
2018-01-26 21:19:34,433 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[F:\ApacheCamel\Input\Swathy-Passport.docx]]]
2018-01-26 21:19:38,392 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-01-26 21:19:38,392 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-01-26 21:19:38,392 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://F:/ApacheCamel/Input?noop=true
2018-01-26 21:19:38,392 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-01-26 21:19:38,423 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.637 seconds
2018-01-26 21:19:38,423 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.031 seconds
2018-01-26 21:19:52,415 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-01-26 21:19:52,415 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-01-26 21:19:52,718 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-01-26 21:19:52,926 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-01-26 21:19:52,926 | WARN | FileEndpoint.java 89 | Cannot auto create starting directory: F2:\ApacheCamel\Input
2018-01-26 21:19:52,926 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-01-26 21:19:52,926 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-01-26 21:19:53,004 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://F2:/ApacheCamel/Input?noop=true
2018-01-26 21:19:53,004 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-01-26 21:19:53,004 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.605 seconds
2018-01-26 21:19:58,012 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-01-26 21:19:58,012 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-01-26 21:19:58,012 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://F2:/ApacheCamel/Input?noop=true
2018-01-26 21:19:58,012 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-01-26 21:19:58,074 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.675 seconds
2018-01-26 21:19:58,074 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.062 seconds
2018-01-26 21:20:25,664 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-01-26 21:20:25,669 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-01-26 21:20:25,994 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-01-26 21:20:26,244 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-01-26 21:20:26,244 | WARN | FileEndpoint.java 89 | Cannot auto create starting directory: F2:\ApacheCamel\Input
